country,year,eur_million
AT,2016,14193.984585568407
BE,2016,30737.56284527066
BG,2016,11735.274170408009
CY,2016,1171.485833355398
CZ,2016,25736.137652841502
DE,2016,93335.63428487105
DK,2016,11014.958957016837
EE,2016,3362.3096036707125
EL,2016,29989.09954109483
ES,2016,76437.78745277043
FI,2016,10531.125796382099
FR,2016,95541.12821101441
HR,2016,4888.261924141084
HU,2016,23803.467557902495
IE,2016,13100.913534738067
IT,2016,85367.34873261845
LT,2016,7310.31619105206
LU,2016,4950.749929500458
LV,2016,3688.652095319467
MT,2016,1021.998255859154
NL,2016,17849.743326003987
PL,2016,58108.91891267301
PT,2016,18617.81317704132
RO,2016,37111.245596027926
SE,2016,13417.077557890629
SI,2016,3102.5883728714653
SK,2016,14307.506102451634
AT,2017,12551.221898421154
BE,2017,29256.95026724457
BG,2017,9550.59914156471
CY,2017,1232.057665430618
CZ,2017,21584.1012864256
DE,2017,94353.54235336684
DK,2017,10925.977282065682
EE,2017,3200.185063651744
EL,2017,25810.459187423174
ES,2017,63435.86201310942
FI,2017,9876.96436714975
FR,2017,96310.34038653785
HR,2017,3664.093454933289
HU,2017,21445.353632064423
IE,2017,12141.173824997295
IT,2017,67811.21349730983
LT,2017,7735.762992209899
LU,2017,5103.8586569457975
LV,2017,3675.3797045947495
MT,2017,1007.4385797572917
NL,2017,20136.393264347742
PL,2017,64668.14015499028
PT,2017,21322.161154115347
RO,2017,23063.91111226917
SE,2017,12593.872901776005
SI,2017,2750.677421111958
SK,2017,8889.919675311123
AT,2018,15129.856204065716
BE,2018,35177.08978228198
BG,2018,11206.60289153096
CY,2018,1603.8586930162442
CZ,2018,23409.69148971872
DE,2018,110545.48451656956
DK,2018,11983.97068857354
EE,2018,3848.3927731258195
EL,2018,25200.904592533585
ES,2018,80166.77876752013
FI,2018,10555.077357528384
FR,2018,112151.99065147925
HR,2018,5931.6812082088945
HU,2018,32733.44314405973
IE,2018,14252.583081567409
IT,2018,80081.67385356182
LT,2018,10430.645822796127
LU,2018,5623.340593649809
LV,2018,5993.018233856447
MT,2018,847.9193005149106
NL,2018,23448.974698173824
PL,2018,87470.39763725383
PT,2018,26973.648609739168
RO,2018,25132.80598158177
SE,2018,15300.495786509722
SI,2018,5105.071136563198
SK,2018,13225.815477462083
AT,2019,15145.771005420653
BE,2019,35945.55145890667
BG,2019,11236.265470079503
CY,2019,1586.0242928968933
CZ,2019,28974.763947020878
DE,2019,112690.27936832212
DK,2019,12036.674611889817
EE,2019,5920.538169418495
EL,2019,27286.405308026115
ES,2019,74338.404659417
FI,2019,10815.73698174156
FR,2019,112804.41728739793
HR,2019,10512.307500920693
HU,2019,31868.53963269469
IE,2019,13650.756197216175
IT,2019,83009.3284957192
LT,2019,7992.7949946242825
LU,2019,5748.885986983564
LV,2019,6842.535820928088
MT,2019,1334.5833978439514
NL,2019,24973.440192866998
PL,2019,87772.60478344413
PT,2019,23959.64140045611
RO,2019,27277.60374391201
SE,2019,14172.916650179219
SI,2019,5162.5462219244255
SK,2019,12404.17484879484
AT,2020,16302.036793509076
BE,2020,38340.183657551686
BG,2020,11541.686310244779
CY,2020,1499.3412721987906
CZ,2020,30783.0788105542
DE,2020,117499.12881663293
DK,2020,13010.133798581197
EE,2020,5608.290279735162
EL,2020,38167.470644877656
ES,2020,83167.19118686512
FI,2020,11567.170722353487
FR,2020,121592.16607343052
HR,2020,11473.163201168243
HU,2020,32148.973293606177
IE,2020,15022.72434226805
IT,2020,88364.14469978694
LT,2020,13296.83643406596
LU,2020,7574.5940890283555
LV,2020,6753.532396151179
MT,2020,1059.3312404922542
NL,2020,27136.763620087168
PL,2020,97307.21553275333
PT,2020,28841.89534215643
RO,2020,36427.42276348068
SE,2020,18016.443563096
SI,2020,5775.72539391281
